TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,IS_NULLABLE
dbo,DataSet_Monthly_Sales,Calendar_Year,char,4,NO
dbo,DataSet_Monthly_Sales,Calendar_Quarter,char,1,NO
dbo,DataSet_Monthly_Sales,Calendar_Month,char,7,NO
dbo,DataSet_Monthly_Sales,Global_Region,nvarchar,50,NO
dbo,DataSet_Monthly_Sales,Sales_Country,nvarchar,50,NO
dbo,DataSet_Monthly_Sales,Country_Region,nvarchar,50,NO
dbo,DataSet_Monthly_Sales,Sales_Office,nvarchar,50,NO
dbo,DataSet_Monthly_Sales,Local_Currency,char,3,NO
dbo,DataSet_Monthly_Sales,Sales_Channel,nvarchar,50,NO
dbo,DataSet_Monthly_Sales,Material_Number,nvarchar,50,NO
dbo,DataSet_Monthly_Sales,Material_Description,nvarchar,100,NO
dbo,DataSet_Monthly_Sales,Product_Line,nvarchar,50,NO
dbo,DataSet_Monthly_Sales,Product_Category,nvarchar,50,NO
dbo,DataSet_Monthly_Sales,Revenue,money,NULL,NO
dbo,DataSet_Monthly_Sales,Revenue_EUR,money,NULL,NO
dbo,DataSet_Monthly_Sales,Discount,money,NULL,NO
dbo,DataSet_Monthly_Sales,Discount_EUR,money,NULL,NO
dbo,DataSet_Monthly_Sales,Sales_Amount,int,NULL,NO
dbo,DataSet_Monthly_Sales,Transfer_Price_EUR,money,NULL,NO
dbo,DataSet_Monthly_Sales,Currency_Rate,money,NULL,NO
dbo,DataSet_Monthly_Sales,Refresh_Date,datetime,NULL,YES
dbo,DataSet_Monthly_Sales_and_Quota,Sales Organisation,nvarchar,50,NO
dbo,DataSet_Monthly_Sales_and_Quota,Sales Country,nvarchar,50,NO
dbo,DataSet_Monthly_Sales_and_Quota,Sales Region,nvarchar,50,NO
dbo,DataSet_Monthly_Sales_and_Quota,Sales City,nvarchar,50,NO
dbo,DataSet_Monthly_Sales_and_Quota,Sales State,nvarchar,50,YES
dbo,DataSet_Monthly_Sales_and_Quota,Product Line,nvarchar,50,NO
dbo,DataSet_Monthly_Sales_and_Quota,Product Category,nvarchar,50,NO
dbo,DataSet_Monthly_Sales_and_Quota,Calendar Year,char,4,NO
dbo,DataSet_Monthly_Sales_and_Quota,Calendar Quarter,char,1,NO
dbo,DataSet_Monthly_Sales_and_Quota,Calendar Month ISO,char,7,NO
dbo,DataSet_Monthly_Sales_and_Quota,Calendar Month,nvarchar,15,YES
dbo,DataSet_Monthly_Sales_and_Quota,Calendar DueDate,date,NULL,YES
dbo,DataSet_Monthly_Sales_and_Quota,Sales Amount Quota,numeric,NULL,YES
dbo,DataSet_Monthly_Sales_and_Quota,Revenue Quota,money,NULL,YES
dbo,DataSet_Monthly_Sales_and_Quota,Sales Amount,numeric,NULL,YES
dbo,DataSet_Monthly_Sales_and_Quota,Revenue EUR,money,NULL,YES
dbo,DataSet_Monthly_Sales_and_Quota,Discount EUR,money,NULL,YES
dbo,DataSet_Monthly_Sales_and_Quota,Discount Quota,money,NULL,YES
dbo,DataSet_Monthly_Sales_and_Quota,Transfer Price EUR,money,NULL,YES
dbo,DataSet_Monthly_Sales_and_Quota,Gross Profit EUR,money,NULL,YES
dbo,DataSet_Monthly_Sales_and_Quota,Gross Profit Quota,money,NULL,YES
dbo,DataSet_Monthly_Sales_and_Quota,Revenue Diff,money,NULL,YES
